Año;Trimestre;Provincia;HASTA 512 kbps;+ 512 Kbps - 1 Mbps;+ 1 Mbps - 6 Mbps;+ 6 Mbps - 10 Mbps;+ 10 Mbps - 20 Mbps;+ 20 Mbps - 30 Mbps;+ 30 Mbps;OTROS;TOTAL
2014;4;Buenos Aires;8.226;132.937;2250.445;203.62;104.322;997;5.406;0;3701.956
2014;4;Capital Federal;2.698;62.896;1038.269;123.451;95.772;890;7.997;0;2221.083
2014;4;Catamarca;21;8.047;14.093;2.91;421;0;1;0;468.05
2014;4;Chaco;483;12.837;42.106;7.908;2.6;124;2;0;674.451
2014;4;Chubut;1.858;6.218;60.392;70;0;0;0;0;138.468
2014;4;Córdoba;1.903;85.362;427.844;41.947;30.858;1.177;782;0;1371.091
2014;4;Corrientes;40;13.86;42.182;7.513;2.106;0;9;0;114.661
2014;4;Entre Ríos;2.311;27.801;88.649;18.318;3.584;1;66;0;207.663
2014;4;Formosa;1.947;7.83;14.058;1.852;473;47;1;0;546.687
2014;4;Jujuy;1.88;10.427;19.74;3.443;465;0;0;0;500.49
2014;4;La Pampa;6.266;6.879;36.52;26;5;4;10;0;94.665
2014;4;La Rioja;9;4.333;9.728;1.943;386;0;3;0;414.004
2014;4;Mendoza;303;19;169.222;36;14;5;12;0;558.222
2014;4;Misiones;547;11.84;53.093;8.731;2.952;54;12;0;689.616
2014;4;Neuquén;1.731;2.744;80.938;126;3.621;2;66;0;283.034
2014;4;Río Negro;3.64;4.723;85.094;94;2.319;4;30;0;223.776
2014;4;Salta;54;16.214;63.221;12.552;1.922;0;4;0;151.909
2014;4;San Juan;11;478;51.628;0;0;0;2;0;542.628
2014;4;San Luis;9;0;13.135;0;0;1;2;0;25.135
2014;4;Santa Cruz;156;1.4;24.145;1;1;0;0;0;183.545
2014;4;Santa Fe;8.707;99.962;359.293;36.718;21.098;869;824;0;2218.778
2014;4;Santiago Del Estero;1.246;8.913;24.181;4.359;602;0;0;0;640.699
2014;4;Tierra Del Fuego;12;283;31.489;2;0;0;0;0;328.489
2014;4;Tucumán;17;28.746;85.091;20.631;2.733;196;0;0;350.201
2014;3;Buenos Aires;7.355;128.187;2281.524;156.693;68.947;243;4.232;0;2889.938
2014;3;Capital Federal;840;78.016;1060.145;102.17;70.907;95;6.626;0;2252.864
2014;3;Catamarca;19;8.845;13.79;1.915;111;0;0;0;154.55
2014;3;Chaco;398;14.731;41.934;5.428;1.274;5;0;0;466.367
2014;3;Chubut;2.013;6.281;60.771;34;0;0;0;0;103.065
2014;3;Córdoba;660;98.992;435.692;28.992;18.888;84;664;0;1990.564
2014;3;Corrientes;21;15.448;41.717;5.181;1.172;0;0;0;84.518
2014;3;Entre Ríos;1.709;29.71;91.45;12.569;1.31;0;48;0;184.748
2014;3;Formosa;2.001;8.323;14.202;1.324;85;0;0;0;110.85
2014;3;Jujuy;127;10.979;20.216;2.305;82;0;0;0;242.5
2014;3;La Pampa;6.458;6.645;41.009;24;5;4;10;0;97.112
2014;3;La Rioja;10;4.785;9.72;1.337;61;0;0;0;86.842
2014;3;Mendoza;35;0;167.763;31;12;13;1;0;259.763
2014;3;Misiones;640;13.637;53.51;5.928;1.606;0;1;0;715.681
2014;3;Neuquén;1.522;3.099;80.09;107;2.865;10;27;0;231.576
2014;3;Río Negro;3.64;5.189;86.868;87;1.944;8;9;0;201.641
2014;3;Salta;732;17.481;66.026;8.314;388;0;0;0;1211.821
2014;3;San Juan;8;487;51.276;0;0;0;0;0;546.276
2014;3;San Luis;8;0;13.029;0;0;3;0;0;24.029
2014;3;Santa Cruz;195;1.624;24.248;1;1;0;0;0;222.872
2014;3;Santa Fe;8.23;112.593;357.615;23.962;12.124;38;806;0;1358.524
2014;3;Santiago Del Estero;791;9.914;23.826;2.867;142;0;0;0;969.607
2014;3;Tierra Del Fuego;12;336;32.348;2;0;0;0;0;382.348
2014;3;Tucumán;6;32.716;84.668;14.101;559;4;0;0;700.485
2014;2;Buenos Aires;6.902;162.274;2288.772;140.226;56.549;284;4.309;0;2943.032
2014;2;Capital Federal;847;81.431;1078.213;87.359;56.004;59;6.427;0;2215.434
2014;2;Catamarca;19;8.844;13.794;1.915;111;0;0;0;154.553
2014;2;Chaco;412;14.854;41.53;5.418;1.085;5;0;0;479.887
2014;2;Chubut;2.064;6.582;61.868;0;0;0;0;0;70.514
2014;2;Córdoba;2.105;101.598;429.536;28.698;14.824;76;627;0;1279.761
2014;2;Corrientes;20;15.563;41.219;5.199;956;0;0;0;1037.981
2014;2;Entre Ríos;2.187;32.781;86.757;12.564;1.162;0;44;0;179.451
2014;2;Formosa;2.032;8.218;13.944;1.321;85;0;0;0;110.515
2014;2;Jujuy;1.873;11.233;18.851;2.305;82;0;0;0;116.262
2014;2;La Pampa;7.032;6.761;34.089;18;5;4;10;0;84.882
2014;2;La Rioja;10;4.785;9.719;1.337;61;0;0;0;86.841
2014;2;Mendoza;35;6;166.71;31;10;5;10;0;263.71
2014;2;Misiones;540;13.644;53.245;5.924;1.334;2;0;0;616.147
