Anio,Trimestre,Provincia,ADSL,Cablemodem,fibra_optica,Wireless,otras_tecnologias,accesos_hogares,banda_ancha,dial_up,velocidad_512kpbs,velocidad_1Mbps,velocidad_6Mbps,velocidad_10Mbps,velocidad_20Mbps,velocidad_30Mbps,velocidad_mas30Mbps,velocidad_otros,velocidad_bajada
2022,1,Santiago Del Estero,18,88,1,6,3,4717,116,2.0,178.0,1.401,30.22,61.17,13.542,849.0,8.309,792.0,1.45
2022,1,Tierra Del Fuego,13,39,416,124,340,9829,52,313.0,24.0,894.0,12.849,15.64,18.034,1.767,982.0,2.421,1.073
2022,1,Tucumán,93,62,86,4,487,5739,246,30.0,39.0,2.212,36.028,46.961,21.014,5.211,133.846,273.0,4.724
2021,4,Buenos Aires,426,3,1,127,73,7566,5,6.0,37.821,11.026,352.95,331.292,297.296,196.021,3259.793,22.958,6.021
2021,4,Capital Federal,111,1,60,6,30,11127,1,2.0,563.0,1.695,47.133,81.899,66.135,66.755,1147.939,0.0,8.295
2021,4,Catamarca,16,14,25,2,2,5525,59,1.0,71.0,0.0,6.038,7.855,9.804,3.262,29.827,2.233,4.638
2021,4,Chaco,36,63,35,8,2,4405,144,5.0,461.0,112.0,18.845,22.678,21.937,13.692,58.435,7.585,4.234
2021,4,Chubut,46,57,10,28,19,8257,159,944.0,126.0,1.294,63.698,39.568,31.175,5.78,2.904,15.763,908.0
2021,4,Córdoba,212,487,217,61,9,8451,987,77.0,100.0,2.479,184.548,130.892,76.246,41.198,538.7,12.607,4.636
2021,4,Corrientes,43,71,10,7,5,4551,136,4.0,67.0,645.0,28.83,26.368,22.922,10.087,39.911,7.082,3.577
2021,4,Entre Ríos,70,133,23,25,13,6316,265,22.0,107.0,3.024,56.043,49.636,38.295,24.068,77.29,16.583,3.332
2021,4,Formosa,17,15,5,16,172,3445,54,0.0,84.0,0.0,22.908,6.983,6.811,1.135,13.775,1.967,2.876
2021,4,Jujuy,22,61,24,3,4,5692,114,0.0,58.0,175.0,22.446,16.793,38.134,564.0,33.421,2.324,2.714
2021,4,La Pampa,8,58,20,19,1,8957,107,173.0,301.0,493.0,64.84,9.082,12.259,4.821,12.184,3.027,1.385
2021,4,La Rioja,10,57,9,7,31,7792,83,4.0,18.0,1.0,5.018,5.437,23.559,5.671,43.424,0.0,3.97
2021,4,Mendoza,60,72,110,25,2,4751,267,804.0,156.0,1.463,66.428,30.308,75.214,18.621,75.031,366.0,2.223
2021,4,Misiones,42,92,22,8,8,4906,171,0.0,51.0,5.0,41.916,23.554,26.721,15.954,54.596,8.335,3.89
2021,4,Neuquén,29,73,23,22,746,7330,147,477.0,140.0,940.0,42.313,13.264,10.515,3.31,69.217,7.767,4.009
2021,4,Río Negro,42,44,32,17,18,6569,153,564.0,156.0,1.174,38.373,19.878,31.255,4.13,36.142,22.645,2.72
2021,4,Salta,47,100,40,6,7,5681,199,6.0,114.0,20.0,40.673,69.324,6.642,3.535,72.622,6.475,3.394
2021,4,San Juan,36,13,11,11,8,3959,80,291.0,44.0,1.442,28.906,10.955,23.978,398.0,9.8,4.435,1.105
2021,4,San Luis,8,11,30,71,29,8030,119,187.0,62.0,264.0,8.55,4.276,9.107,67.363,9.0,29.218,2.091
2021,4,Santa Cruz,11,23,10,4,417,4305,48,210.0,52.0,297.0,20.305,11.641,13.054,1.77,876.0,491.0,899.0
2021,4,Santa Fe,233,444,129,44,16,7709,866,176.0,467.0,581.0,169.706,206.856,85.69,62.349,322.015,18.777,3.602
2021,4,Santiago Del Estero,19,87,1,6,3,4705,116,2.0,178.0,909.0,31.915,61.524,12.205,800.0,7.537,793.0,1.384
2021,4,Tierra Del Fuego,13,38,426,124,342,9840,52,315.0,26.0,385.0,13.505,16.534,16.562,1.748,1.017,2.58,1.07
2021,4,Tucumán,98,59,79,3,486,5593,239,30.0,39.0,97.0,37.321,48.736,21.023,5.326,125.857,240.0,4.515
2021,3,Buenos Aires,586,3,886,120,65,7168,4,5.0,37.193,31.149,1108.94,248.153,141.383,192.797,2482.266,9.728,5.626
2021,3,Capital Federal,143,1,43,6,29,11127,1,2.0,295.0,603.0,156.978,67.013,39.785,73.502,1075.229,0.0,7.771
2021,3,Catamarca,18,12,22,2,2,5271,56,1.0,71.0,0.0,6.755,8.428,10.517,1.659,26.618,2.206,4.343
2021,3,Chaco,38,64,28,8,2,4296,140,3.0,301.0,112.0,22.545,20.986,23.852,14.412,49.705,7.958,3.911
2021,3,Chubut,49,56,9,23,19,8071,155,800.0,104.0,105.0,89.168,26.281,18.538,5.32,1.643,14.907,818.0
2021,3,Córdoba,229,477,167,58,15,8128,947,62.0,99.0,2.452,204.989,141.285,65.05,47.198,476.459,9.256,4.193
2021,3,Corrientes,45,69,8,7,5,4490,134,3.0,67.0,645.0,29.629,28.478,24.792,9.687,35.468,5.053,3.217
2021,3,Entre Ríos,74,129,20,24,13,6218,260,15.0,107.0,3.024,61.354,59.776,39.114,16.284,67.961,12.755,2.96
2021,3,Formosa,18,14,5,16,171,3396,53,0.0,381.0,0.0,22.778,7.142,6.978,1.192,12.707,1.617,2.669
2021,3,Jujuy,24,61,20,3,4,5569,111,0.0,48.0,175.0,23.884,16.417,37.755,561.0,29.917,2.401,2.598
2021,3,La Pampa,9,58,18,14,1,8428,100,116.0,298.0,313.0,65.063,7.395,8.737,4.023,10.506,4.152,1.299
2021,3,La Rioja,11,55,9,7,30,7726,82,3.0,18.0,1.0,5.366,5.979,23.315,4.868,42.613,0.0,3.887
2021,3,Mendoza,91,71,71,22,828,4555,255,619.0,36.0,31.0,151.871,12.64,62.628,7.596,21.087,50.0,1.337
2021,3,Misiones,43,89,11,7,8,4557,159,0.0,51.0,5.0,41.932,25.099,26.079,14.792,42.291,8.279,3.088
2021,3,Neuquén,30,74,16,19,640,6971,139,373.0,112.0,327.0,57.441,8.566,6.234,3.631,57.919,5.579,3.834
2021,3,Río Negro,48,45,19,15,18,6197,144,501.0,125.0,557.0,68.991,3.73,14.88,2.282,34.011,20.009,2.54
2021,3,Salta,49,98,36,6,6,5596,196,2.0,101.0,20.0,41.431,70.104,6.962,3.878,67.01,6.327,3.121
2021,3,San Juan,40,13,7,11,8,3946,79,256.0,18.0,333.0,59.873,752.0,13.25,338.0,278.0,4.641,704.0
2021,3,San Luis,8,12,27,69,29,7987,118,148.0,60.0,0.0,11.552,2.405,6.491,67.942,22.0,29.392,2.17
2021,3,Santa Cruz,12,23,6,4,3,4375,49,197.0,50.0,0.0,30.561,8.365,6.799,1.788,678.0,735.0,769.0
